Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Average Cadence,Max Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone
1661009751,"Jun 25, 2018, 10:30:39 AM",Morning Ride,Ride,,3042,9.44,,false,,activities/1661009751.gpx,84.86710357666016,,3042.0,2965.0,9444.6884765625,10.0,,170.8334197998047,,121.5999984741211,169.6999969482422,48.0,0.1218065470457077,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1667526072,"Jun 28, 2018, 10:44:50 AM",Morning Ride,Ride,,5630,16.16,61,false,,activities/1667526072.gpx,84.86710357666016,,5630.0,5012.0,16166.3994140625,10.199999809265137,,260.08636474609375,,123.30000305175781,169.6999969482422,48.79999923706055,0.03402307257056236,,,,,174.0,136.36375427246094,,,,,,61.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1675867338,"Jul 2, 2018, 10:30:07 AM",Morning Ride,Ride,,5507,16.85,60,false,The Ghost,activities/1675867338.gpx,84.86710357666016,13.494400024414062,5507.0,5470.0,16856.232421875,9.600000381469727,,274.85491943359375,,123.30000305175781,169.6999969482422,20.899999618530273,0.01839369721710682,,,,,171.0,134.4168243408203,,114.78409576416016,700.0733642578125,,,60.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,4950430.0,,,,,,,
1680124529,"Jul 4, 2018, 10:26:04 AM",Morning Ride,Ride,,5627,15.64,52,false,The Ghost,activities/1680124529.gpx,84.86710357666016,13.494400024414062,5627.0,4769.0,15648.8125,11.199999809265137,,242.02484130859375,,123.30000305175781,169.6999969482422,41.79999923706055,-0.003195888828486204,,,,,167.0,134.27682495117188,,121.46150970458984,645.8662719726562,,,52.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,4950430.0,,,,,,,
1684387166,"Jul 6, 2018, 10:33:59 AM",Morning Ride,Ride,,4961,14.82,70,false,The Ghost,activities/1684387166.gpx,84.86710357666016,13.494400024414062,4961.0,4684.0,14820.5068359375,10.399999618530273,,240.77239990234375,,123.30000305175781,169.6999969482422,49.20000076293945,0.0,,,,,171.0,140.3736114501953,,118.67052459716797,619.7782592773438,,,70.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,4950430.0,,,,,,,
1690973577,"Jul 9, 2018, 10:26:48 AM",Morning Ride,Ride,,6516,20.28,50,false,The Ghost,activities/1690973577.gpx,84.86710357666016,13.494400024414062,6516.0,6269.0,20287.193359375,10.600000381469727,,315.89422607421875,,123.30000305175781,169.6999969482422,23.600000381469727,-0.0064088343642652035,,,,,169.0,128.98052978515625,,117.41873168945312,820.7511596679688,,,50.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,4950430.0,,,,,,,
1698474631,"Jul 12, 2018, 10:30:40 AM",Morning Ride,Ride,,4669,14.97,63,false,The Ghost,activities/1698474631.gpx,84.86710357666016,13.494400024414062,4669.0,4367.0,14974.3193359375,10.0,,274.8352966308594,,124.0999984741211,169.6999969482422,33.599998474121094,-0.006679089739918709,,,,,175.0,139.2604522705078,,129.51951599121094,630.659423828125,,,63.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,4950430.0,,,,,,,
2242065087,"Mar 23, 2019, 11:49:43 AM",Morning Ride,Ride,,1154,3.93,12,false,The Ghost,activities/2242065087.gpx,84.86710357666016,13.494400024414062,1154.0,919.0,3936.84912109375,11.0,,43.096500396728516,,123.80000305175781,150.5,10.199999809265137,-0.31772661209106445,,,,,164.0,140.7489013671875,,135.3329620361328,138.6736602783203,,,12.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,4950430.0,,,,,,,
2244631958,"Mar 26, 2019, 3:10:25 PM",Lunch Run,Run,,1989,4.88,73,false,"",activities/2244631958.gpx,84.86710357666016,,1989.0,1989.0,4881.94873046875,4.400000095367432,,84.67047882080078,,122.0999984741211,161.5,19.0,0.010246321558952332,,,,,175.0,162.61488342285156,,,532.7905883789062,,,73.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,3385035.0,,,,,,
2779067492,"Oct 10, 2019, 10:01:04 PM",Evening Ride,Ride,,3445,10.12,13,false,The Ghost,activities/2779067492.gpx,,,3445.0,3117.0,10123.478515625,,,128.0241241455078,,,,,,,,,,,,,,375.2561950683594,,,13.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2974049872,"Jan 1, 2020, 8:11:53 PM",Afternoon Walk,Walk,,4814,7.97,17,false,"",activities/2974049872.gpx,,,4814.0,4814.0,7978.359375,,1.6573243141174316,119.58206176757812,,,,,,,,,,,,,,831.9395141601562,,,17.0,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
3013802757,"Jan 15, 2020, 4:00:44 PM",Lunch Run,Run,,1311,3.23,62,false,"",activities/3013802757.gpx,,,1311.0,1311.0,3234.365966796875,,2.4670984745025635,56.45824432373047,,,,,,,,,,,,,,356.14959716796875,,,62.0,,,,,,,,,,,0.0,,1.0,3415.5,,,,,,,,,,,,,,,,,,,,,,
3146023688,"Mar 1, 2020, 5:10:58 PM",Lunch Walk,Walk,,4241,6.37,15,false,"",activities/3146023688.gpx,,,4241.0,4039.0,6373.2314453125,,1.577923059463501,99.71414184570312,102.61409759521484,,,,,,,,,,,,,664.5654296875,,,15.0,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,3385035.0,,,,,,
